T05,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
1,"Total, all countries or areas",2000,"Seats held by women in national parliament, as of February (%)",,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2005,"Seats held by women in national parliament, as of February (%)",,,15.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2010,"Seats held by women in national parliament, as of February (%)",,,19.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2015,"Seats held by women in national parliament, as of February (%)",,,22.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2020,"Seats held by women in national parliament, as of February (%)",,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2021,"Seats held by women in national parliament, as of February (%)",,,25.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2022,"Seats held by women in national parliament, as of February (%)",,,26.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2023,"Seats held by women in national parliament, as of February (%)",,,26.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
1,"Total, all countries or areas",2024,"Seats held by women in national parliament, as of February (%)",,,26.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,5.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.8,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,24.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,20.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,24.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,21.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2023,"Seats held by women in national parliament, as of February (%)",,,20.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
15,Northern Africa,2024,"Seats held by women in national parliament, as of February (%)",,,20.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2000,"Seats held by women in national parliament, as of February (%)",,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2005,"Seats held by women in national parliament, as of February (%)",,,14.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2010,"Seats held by women in national parliament, as of February (%)",,,18.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2015,"Seats held by women in national parliament, as of February (%)",,,22.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2020,"Seats held by women in national parliament, as of February (%)",,,24.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2021,"Seats held by women in national parliament, as of February (%)",,,24.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2022,"Seats held by women in national parliament, as of February (%)",,,26.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2023,"Seats held by women in national parliament, as of February (%)",,,26.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
202,Sub-Saharan Africa,2024,"Seats held by women in national parliament, as of February (%)",,,27.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,11.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,16.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,21.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,27.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,30.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2021,"Seats held by women in national parliament, as of February (%)",,,31.2,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2022,"Seats held by women in national parliament, as of February (%)",,,31.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2023,"Seats held by women in national parliament, as of February (%)",,,31.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
14,Eastern Africa,2024,"Seats held by women in national parliament, as of February (%)",,,31.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.6,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2024."
